Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
abate,"줄어들다, 약해지다, 감소하다","To reduce in intensity, amount, or degree; to lessen or diminish.",The storm began to abate after several hours of heavy rain.,폭풍은 몇 시간 동안의 폭우 후 약해지기 시작했다.,"lessen, diminish, decrease","increase, intensify, amplify",Medium relevance for vocabulary in writing and reading sections.,"Low relevance, but occasionally useful in reading comprehension."
abbreviate,단어를 짧게 줄이다,"To shorten a word, phrase, or text.",You can abbreviate 'Doctor' as 'Dr.',당신은 'Doctor'를 'Dr.'로 줄일 수 있습니다.,"shorten, condense, reduce","extend, lengthen, expand",Moderate,Low
abdomen,"복부, 배",The part of the body between the chest and the pelvis containing the stomach and other organs.,She complained of severe pain in her abdomen after eating.,그녀는 식사 후 복부에 심한 통증을 호소했다.,"belly, stomach, midsection",,Moderate relevance for medical or biological topics,Low relevance
abduct,"강제로 납치하다, 유괴하다",To take someone away illegally by force or deception; kidnap,The criminal planned to abduct the child from the park.,범인은 공원에서 아이를 납치할 계획을 세웠다.,"kidnap, seize, snatch","release, free",6,5
abolish,"폐지하다, 없애다","To officially end or stop something, especially a law or system.",The government decided to abolish the outdated regulation.,정부는 오래된 규정을 폐지하기로 결정했다.,"eliminate, terminate, repeal","establish, create, enact",High relevance for writing and speaking sections.,Moderate relevance for reading comprehension questions.
abound,"풍부하다, 많이 있다","to be plentiful, to exist in large numbers or amounts",Opportunities to learn new skills abound in this city.,이 도시에는 새로운 기술을 배울 기회가 풍부하다.,"overflow, proliferate, flourish","lack, scarce, shortage",high relevance for vocabulary development,moderate relevance for reading comprehension
abridge,"요약하다, 축약하다","to shorten or condense a text, speech, or other piece of information",The editor decided to abridge the lengthy novel for a younger audience.,편집자가 어린 독자들을 위해 긴 소설을 축약하기로 결정했다.,"shorten, condense, reduce","expand, lengthen, extend",4,3
abrupt,"갑작스러운, 돌발적인","sudden and unexpected, often in a way that is unpleasant",The meeting came to an abrupt end when she stormed out.,그녀가 뛰쳐나가면서 회의는 갑작스럽게 끝이 났다.,"sudden, unexpected, hasty","gradual, expected, smooth",5,3
absolute,"완전한, 절대적인 상태로 다른 것에 의존하지 않는",Complete and total; not dependent on anything else.,Her trust in him was absolute.,그녀의 그에 대한 신뢰는 절대적이었다.,"total, complete, unconditional","partial, relative, conditional","High relevance, commonly used in reading and writing sections.","Moderate relevance, often used in analytical writing and reasoning questions."
absorb,"흡수하다, 빨아들이다","to take in or soak up (energy, liquid, information, etc.)",Plants absorb sunlight to carry out photosynthesis.,식물은 광합성을 하기 위해 햇빛을 흡수한다.,"take in, soak up, assimilate","release, emit, discharge",High relevance (commonly used in academic contexts),Moderate relevance (used in analytical contexts)
abstain,"자제하다, 삼가다",To voluntarily refrain from doing something,She decided to abstain from eating chocolate during Lent.,그녀는 사순절 동안 초콜릿을 먹는 것을 자제하기로 했다.,"refrain, withhold, avoid","indulge, partake",Moderate,High
abstract,"추상적인, 실체가 없는 것을 뜻하는 단어",Existing in thought or as an idea but not having a physical or concrete existence,The concept of beauty is often considered abstract.,아름다움의 개념은 종종 추상적인 것으로 간주됩니다.,"conceptual, intangible, theoretical","concrete, tangible, physical","High relevance, particularly for advanced vocabulary sections","Moderate relevance, often used in reading comprehension and critical reasoning"
abundant,"풍부한, 많은 양의",existing or available in large quantities; plentiful,The forest is abundant with wildlife.,그 숲은 야생 동물로 풍부하다.,"plentiful, ample, profuse","scarce, limited, meager","High relevance, useful for describing resources or quantities.","Moderate relevance, could appear in reading comprehension or analytical writing."
abuse,"남용, 학대, 또는 부당한 대우를 의미하며, 권력, 자원 등을 잘못 사용하거나 누군가에게 해를 입히는 행위.","Improper use, maltreatment, or unfair treatment, often involving the misuse of power, resources, or harm to others.",The manager was fired due to his abuse of authority.,그 매니저는 권한 남용으로 인해 해고되었다.,"misuse, maltreatment, exploitation","respect, care, kindness","High relevance, often used in topics related to social issues and ethics.","Moderate relevance, may appear in reading comprehension or critical reasoning sections."
abyss,"심연, 끝없이 깊은 구렁",A deep or seemingly bottomless chasm,"She stared into the abyss, feeling a sense of endless despair.",그녀는 심연을 바라보며 끝없는 절망감을 느꼈다.,"chasm, void, gulf","surface, peak",Moderate relevance for descriptive writing or reading comprehension,"Low relevance, mostly used in abstract or philosophical contexts"
academic,"학문적인, 학업과 관련된","related to education, scholarship, or learning",She pursued an academic career in physics.,그녀는 물리학에서 학문적인 경력을 추구했다.,"scholarly, educational, intellectual","nonacademic, practical, uneducated","High relevance for reading and writing sections, especially in academic contexts.","Moderate relevance, commonly used in reading comprehension and verbal reasoning."
accelerate,"속도를 높이다, 가속하다",to increase the speed of something or to move faster,The car began to accelerate as it entered the highway.,그 차는 고속도로에 진입하면서 속도를 높이기 시작했다.,"speed up, hasten, quicken","decelerate, slow down, retard",High relevance in describing processes or trends,Moderate relevance in quantitative and analytical reasoning
acceptable,"받아들일 수 있는, 허용 가능한",Able to be agreed upon or considered satisfactory.,Her proposal was acceptable to everyone in the meeting.,그녀의 제안은 회의에 있는 모든 사람들에게 받아들일 수 있는 것이었다.,"satisfactory, adequate, tolerable","unacceptable, unsatisfactory, intolerable",Used in contexts related to discussions or evaluations.,Relevant in analytical writing or argument reasoning sections.
accessible,"접근 가능한, 쉽게 접근할 수 있는","Able to be reached, entered, or used.",The library is accessible to all students during the weekdays.,도서관은 평일 동안 모든 학생들에게 접근 가능합니다.,"reachable, available, approachable","inaccessible, unavailable, remote",High relevance for describing places and facilities.,Moderate relevance in reading comprehension and writing tasks.
accidental,"우연한, 의도하지 않은",happening by chance or unintentionally,She accidentally spilled coffee on her laptop.,그녀는 실수로 자신의 노트북에 커피를 쏟았다.,"unintentional, inadvertent, chance","intentional, deliberate, planned",Medium relevance for vocabulary in writing and speaking,Low relevance for business-related contexts
acclaimed,"칭찬받는, 호평받는",Highly praised or regarded,The acclaimed author received numerous awards for her latest novel.,호평받는 작가는 자신의 최신 소설로 수많은 상을 받았다.,"praised, celebrated, renowned",,4,3
accommodate,"수용하다, 적응하다, 편의를 제공하다","to provide space or a place, to make adjustments for someone or something",The hotel can accommodate up to 500 guests.,그 호텔은 최대 500명의 손님을 수용할 수 있습니다.,"adapt, adjust, fit, host","reject, refuse, exclude",Frequently used in speaking and writing sections,Occasionally appears in reading comprehension passages
accomplice,범죄나 잘못을 저지르는 데 함께한 사람,A person who helps another commit a crime or wrongdoing,"The thief was caught, but his accomplice managed to escape.",도둑은 잡혔지만 그의 공범은 도망쳤다.,"collaborator, partner in crime, associate","victim, innocent, opponent",Moderate relevance for vocabulary in crime-related contexts,Low relevance unless used in ethical or legal scenarios
